city,climate_risk_assessment_YN,CDP_response_year
New York,Yes,2023
Los Angeles,Yes,2023
Chicago,Yes,2023
Houston,Yes,2023
Phoenix,Yes,2023
Philadelphia,Yes,2023
San Antonio,Yes,2023
San Diego,Yes,2023
Austin,Yes,2023
Dallas,Yes,2023
San José,Yes,2023
Indianapolis,Yes,2023
Columbus,Yes,2023
Charlotte,Yes,2023
Portland,Yes,2023
San Francisco,Yes,2023
Seattle,Yes,2023
Denver,Yes,2023
