city,population,population_year,CDP_response_year
New York,8399000,2018,2020
Los Angeles,4021488,2018,2020
Chicago,2705994,2018,2020
Houston,2343365,2019,2020
Phoenix,1660272,2018,2020
Philadelphia,1555072,2015,2020
San Antonio,1547253,2019,2020
San Diego,1426000,2020,2020
Austin,964254,2019,2020
Dallas,1345047,2018,2020
San José,1046079,2017,2020
Indianapolis,872680,2019,2020
Columbus,922223,2020,2020
Charlotte,885708,2019,2020
Portland,811880,2018,2020
San Francisco,883305,2018,2020
Seattle,704352,2016,2020
Denver,716492,2018,2020
