city,climate_risk_assessment_YN,CDP_response_year
New York,Yes,2022
Los Angeles,Yes,2022
Chicago,Yes,2022
Houston,Yes,2022
Phoenix,Yes,2022
Philadelphia,Yes,2022
San Antonio,Yes,2022
San Diego,Yes,2022
Austin,Yes,2022
Dallas,Yes,2022
San José,Yes,2022
Indianapolis,Yes,2022
Columbus,Yes,2022
Charlotte,Yes,2022
Portland,Yes,2022
San Francisco,Yes,2022
Seattle,Yes,2022
Denver,Yes,2022
