city,population,population_year,CDP_response_year
New York,8622700,2017,2019
Los Angeles,4021488,2017,2019
Chicago,2705994,2018,2019
Houston,2325502,2018,2019
Phoenix,1660272,2018,2019
Philadelphia,1555072,2015,2019
San Antonio,1469845,2015,2019
San Diego,1394928,2015,2019
Austin,1227000,2017,2019
Dallas,1345047,2018,2019
San José,1046079,2017,2019
Indianapolis,872680,2019,2019
Columbus,892533,2019,2019
Charlotte,859035,2017,2019
Portland,807555,2017,2019
San Francisco,884363,2017,2019
Seattle,730400,2018,2019
Denver,704621,2017,2019
