city,population,population_year,CDP_response_year
New York,8399000,2018,2021
Los Angeles,4021488,2018,2021
Chicago,2693976,2019,2021
Houston,2320268,2019,2021
Phoenix,1660272,2018,2021
Philadelphia,1584064,2019,2021
San Antonio,1547253,2019,2021
San Diego,1426000,2021,2021
Austin,995484,2020,2021
Dallas,1345047,2018,2021
San José,1047871,2019,2021
Indianapolis,883570,2020,2021
Columbus,922223,2020,2021
Charlotte,885708,2019,2021
Portland,812855,2019,2021
San Francisco,881549,2019,2021
Seattle,744955,2018,2021
Denver,727211,2019,2021
