city,population,population_year,CDP_response_year
New York,8804190,2020,2023
Los Angeles,3766109,2023,2023
Chicago,2696555,2021,2023
Houston,2288250,2021,2023
Phoenix,1657035,2022,2023
Philadelphia,1576251,2022,2023
San Antonio,1472909,2022,2023
San Diego,1382000,2023,2023
Austin,1297458,2021,2023
Dallas,1288457,2021,2023
San José,976482,2022,2023
Indianapolis,969466,2021,2023
Columbus,908386,2022,2023
Charlotte,897720,2022,2023
Portland,812563,2021,2023
San Francisco,808437,2022,2023
Seattle,737015,2020,2023
Denver,713252,2020,2023
