city,land_area_sqkm,CDP_response_year
New York,778,2023
Los Angeles,1218,2023
Chicago,587,2023
Houston,1740,2023
Phoenix,1347,2023
Philadelphia,348,2023
San Antonio,1200,2023
San Diego,332,2023
Austin,1823,2023
Dallas,879.6,2023
San José,414,2023
Indianapolis,950,2023
Columbus,580,2023
Charlotte,770,2023
Portland,375,2023
San Francisco,121,2023
Seattle,217,2023
Denver,401,2023
