city,climate_risk_assessment_YN,CDP_response_year
New York,Yes,2021
Los Angeles,Yes,2021
Chicago,Yes,2021
Houston,Yes,2021
Phoenix,Yes,2021
Philadelphia,Yes,2021
San Antonio,Yes,2021
San Diego,Yes,2021
Austin,Yes,2021
Dallas,Yes,2021
San José,Yes,2021
Indianapolis,Yes,2021
Columbus,Yes,2021
Charlotte,No,2021
Portland,Yes,2021
San Francisco,Yes,2021
Seattle,Yes,2021
Denver,Yes,2021
